task_id,file_path,sha256_before,sha256_after,size_before,size_after,mtime_changed
"M1_EXACT_FILE",".gitignore","64726C3BC95D7F7D1039433721B83B7E15141771BDCC61E9F240BAB0CA82DE99","64726C3BC95D7F7D1039433721B83B7E15141771BDCC61E9F240BAB0CA82DE99",38,38,false
"M1_EXACT_FILE","calculator.py","F65C5ABA6A3AA64AE189D10269732B0B92826938EE07CC460AE91D2886B7F782","F65C5ABA6A3AA64AE189D10269732B0B92826938EE07CC460AE91D2886B7F782",593,593,false
"M1_EXACT_FILE","calculator_backup.py","59BB3B585C831A53692CA896A6DDB9BEA1FF626AFA127DAE9A497B7C491583DA","59BB3B585C831A53692CA896A6DDB9BEA1FF626AFA127DAE9A497B7C491583DA",205,205,false
"M1_EXACT_FILE","calculator_old.py","32E45E767A368082A5193387AE2CD7F74E3DC54A64338FD1697892C4464B1C42","32E45E767A368082A5193387AE2CD7F74E3DC54A64338FD1697892C4464B1C42",273,273,false
"M1_EXACT_FILE","config.json","C61D5304D0B8B39D60DF96F583DF3988B39DF7EE001A42C863A3ED3EBE1C6517","C61D5304D0B8B39D60DF96F583DF3988B39DF7EE001A42C863A3ED3EBE1C6517",356,356,false
"M1_EXACT_FILE","discount_engine.py","58107927B0AA94705DB281250D709AC0B500DF2DC168640248ECEC557140DFA7","58107927B0AA94705DB281250D709AC0B500DF2DC168640248ECEC557140DFA7",1226,1226,false
"M1_EXACT_FILE","module_a.py","F604F4B12D667DAE308C2BB30D12AFE97931972885A253E00527F702EAE744C2","F604F4B12D667DAE308C2BB30D12AFE97931972885A253E00527F702EAE744C2",286,286,false
"M1_EXACT_FILE","module_b.py","0801A9C983A9D6AFEF5700B13A8D1E366458F590D40DCC90A6136D66EDDC89B1","0801A9C983A9D6AFEF5700B13A8D1E366458F590D40DCC90A6136D66EDDC89B1",300,300,false
"M1_EXACT_FILE","module_c.py","5C1DA2BB4162E9D94908864543CB6E92460386D2E3D72052051A26BBE34F4755","5C1DA2BB4162E9D94908864543CB6E92460386D2E3D72052051A26BBE34F4755",273,273,false
"M1_EXACT_FILE","nested/formatter.py","B5ED1E1EC1F616F345A41A01FE93320D95E73456BBCFF2A7706439331037D2BE","B5ED1E1EC1F616F345A41A01FE93320D95E73456BBCFF2A7706439331037D2BE",825,825,false
"M1_EXACT_FILE","overwrite-test.txt","63ECED6529988F109CA8D5A2DE0CED33E7D73419EBC1AD5EC3BEAC786931343B","63ECED6529988F109CA8D5A2DE0CED33E7D73419EBC1AD5EC3BEAC786931343B",25,25,false
"M1_EXACT_FILE","public_api.py","F4620C617B7B3FDCE7F10B59CF5B60D733F7282ED45A1EB76331CAC3BE38D93E","F4620C617B7B3FDCE7F10B59CF5B60D733F7282ED45A1EB76331CAC3BE38D93E",720,720,false
"M1_EXACT_FILE","tests/test_calculator.py","4918255AD786FFD5FEEB7768839868A8946E3EFF993AE46C7DE9DDE8746E325C","4918255AD786FFD5FEEB7768839868A8946E3EFF993AE46C7DE9DDE8746E325C",931,931,false
"M1_EXACT_FILE","tests/test_discount_engine.py","3C240C8C34C7C27CF8C93A44C82ED3D0733B6C85871EF22A212639224ABA8944","3C240C8C34C7C27CF8C93A44C82ED3D0733B6C85871EF22A212639224ABA8944",1441,1441,false
"M1_EXACT_FILE","tests/test_formatter.py","2FFE68A38C0DC33728D6684C514DD217CFECB28AA603DFFB74ED840B8A79D238","2FFE68A38C0DC33728D6684C514DD217CFECB28AA603DFFB74ED840B8A79D238",1263,1263,false
