run_id,task_id,read_format,repeat,disk_write_success,overall_success,total_latency_ms
"READ_ABL_RAW_M1_EXACT_FILE_rep1","M1_EXACT_FILE","RAW",1,true,false,13646
"READ_ABL_RAW_M1_EXACT_FILE_rep2","M1_EXACT_FILE","RAW",2,false,false,10421
"READ_ABL_RAW_M1_EXACT_FILE_rep3","M1_EXACT_FILE","RAW",3,false,false,10376
"READ_ABL_RAW_M3_NESTED_FILE_rep1","M3_NESTED_FILE","RAW",1,false,false,2847
"READ_ABL_RAW_M3_NESTED_FILE_rep2","M3_NESTED_FILE","RAW",2,false,false,2698
"READ_ABL_RAW_M3_NESTED_FILE_rep3","M3_NESTED_FILE","RAW",3,false,false,2708
"READ_ABL_RAW_M4_OVERWRITE_PROOF_rep1","M4_OVERWRITE_PROOF","RAW",1,false,false,3131
"READ_ABL_RAW_M4_OVERWRITE_PROOF_rep2","M4_OVERWRITE_PROOF","RAW",2,false,false,2935
"READ_ABL_RAW_M4_OVERWRITE_PROOF_rep3","M4_OVERWRITE_PROOF","RAW",3,false,false,2916
"READ_ABL_RAW_M5_SMALL_PATCH_rep1","M5_SMALL_PATCH","RAW",1,true,true,13251
"READ_ABL_RAW_M5_SMALL_PATCH_rep2","M5_SMALL_PATCH","RAW",2,true,true,12996
"READ_ABL_RAW_M5_SMALL_PATCH_rep3","M5_SMALL_PATCH","RAW",3,true,true,12931
"READ_ABL_RAW_M7_LINE_ENDINGS_rep1","M7_LINE_ENDINGS","RAW",1,true,true,12985
"READ_ABL_RAW_M7_LINE_ENDINGS_rep2","M7_LINE_ENDINGS","RAW",2,true,true,13347
"READ_ABL_RAW_M7_LINE_ENDINGS_rep3","M7_LINE_ENDINGS","RAW",3,false,false,10574
"READ_ABL_LINE_NUMBERED_M1_EXACT_FILE_rep1","M1_EXACT_FILE","LINE_NUMBERED",1,false,false,10852
"READ_ABL_LINE_NUMBERED_M1_EXACT_FILE_rep2","M1_EXACT_FILE","LINE_NUMBERED",2,false,false,10617
"READ_ABL_LINE_NUMBERED_M1_EXACT_FILE_rep3","M1_EXACT_FILE","LINE_NUMBERED",3,false,false,10417
"READ_ABL_LINE_NUMBERED_M3_NESTED_FILE_rep1","M3_NESTED_FILE","LINE_NUMBERED",1,false,false,2811
"READ_ABL_LINE_NUMBERED_M3_NESTED_FILE_rep2","M3_NESTED_FILE","LINE_NUMBERED",2,false,false,2688
"READ_ABL_LINE_NUMBERED_M3_NESTED_FILE_rep3","M3_NESTED_FILE","LINE_NUMBERED",3,false,false,2720
"READ_ABL_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep1","M4_OVERWRITE_PROOF","LINE_NUMBERED",1,false,false,3034
"READ_ABL_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep2","M4_OVERWRITE_PROOF","LINE_NUMBERED",2,false,false,2531
"READ_ABL_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep3","M4_OVERWRITE_PROOF","LINE_NUMBERED",3,false,false,2970
"READ_ABL_LINE_NUMBERED_M5_SMALL_PATCH_rep1","M5_SMALL_PATCH","LINE_NUMBERED",1,false,false,10817
"READ_ABL_LINE_NUMBERED_M5_SMALL_PATCH_rep2","M5_SMALL_PATCH","LINE_NUMBERED",2,false,false,10740
"READ_ABL_LINE_NUMBERED_M5_SMALL_PATCH_rep3","M5_SMALL_PATCH","LINE_NUMBERED",3,false,false,10810
"READ_ABL_LINE_NUMBERED_M7_LINE_ENDINGS_rep1","M7_LINE_ENDINGS","LINE_NUMBERED",1,false,false,10620
"READ_ABL_LINE_NUMBERED_M7_LINE_ENDINGS_rep2","M7_LINE_ENDINGS","LINE_NUMBERED",2,false,false,10680
"READ_ABL_LINE_NUMBERED_M7_LINE_ENDINGS_rep3","M7_LINE_ENDINGS","LINE_NUMBERED",3,false,false,10500
"READ_ABL_STRUCTURED_ENVELOPE_M1_EXACT_FILE_rep1","M1_EXACT_FILE","STRUCTURED_ENVELOPE",1,false,false,10708
"READ_ABL_STRUCTURED_ENVELOPE_M1_EXACT_FILE_rep2","M1_EXACT_FILE","STRUCTURED_ENVELOPE",2,false,false,10687
