run_id,task_id,tool_output_format,repeat,disk_write_success,test_success,overall_success,retries,total_latency_ms
"TOOL_ABL_RAW_R1_ARITHMETIC_rep1","R1_ARITHMETIC","RAW",1,false,false,false,4,17982
"TOOL_ABL_RAW_R1_ARITHMETIC_rep2","R1_ARITHMETIC","RAW",2,false,false,false,4,11157
"TOOL_ABL_RAW_R1_ARITHMETIC_rep3","R1_ARITHMETIC","RAW",3,false,false,false,4,10930
"TOOL_ABL_RAW_R1_ARITHMETIC_rep4","R1_ARITHMETIC","RAW",4,false,false,false,4,11063
"TOOL_ABL_RAW_R1_ARITHMETIC_rep5","R1_ARITHMETIC","RAW",5,false,false,false,4,10978
"TOOL_ABL_RAW_R2_NESTED_MODULE_rep1","R2_NESTED_MODULE","RAW",1,false,false,false,1,11951
"TOOL_ABL_RAW_R2_NESTED_MODULE_rep2","R2_NESTED_MODULE","RAW",2,false,false,false,1,11722
"TOOL_ABL_RAW_R2_NESTED_MODULE_rep3","R2_NESTED_MODULE","RAW",3,false,false,false,1,11900
"TOOL_ABL_RAW_R2_NESTED_MODULE_rep4","R2_NESTED_MODULE","RAW",4,false,false,false,1,11738
"TOOL_ABL_RAW_R2_NESTED_MODULE_rep5","R2_NESTED_MODULE","RAW",5,false,false,false,4,11600
"TOOL_ABL_RAW_R3_CONFIG_BUG_rep1","R3_CONFIG_BUG","RAW",1,true,false,false,3,19714
"TOOL_ABL_RAW_R3_CONFIG_BUG_rep2","R3_CONFIG_BUG","RAW",2,true,false,false,3,19232
"TOOL_ABL_RAW_R3_CONFIG_BUG_rep3","R3_CONFIG_BUG","RAW",3,true,true,false,1,14774
"TOOL_ABL_RAW_R3_CONFIG_BUG_rep4","R3_CONFIG_BUG","RAW",4,true,true,false,1,14780
"TOOL_ABL_RAW_R3_CONFIG_BUG_rep5","R3_CONFIG_BUG","RAW",5,true,false,false,3,19953
"TOOL_ABL_RAW_R4_MULTIFILE_DISCOVERY_rep1","R4_MULTIFILE_DISCOVERY","RAW",1,true,true,true,0,11179
"TOOL_ABL_RAW_R4_MULTIFILE_DISCOVERY_rep2","R4_MULTIFILE_DISCOVERY","RAW",2,true,true,true,0,10938
"TOOL_ABL_RAW_R4_MULTIFILE_DISCOVERY_rep3","R4_MULTIFILE_DISCOVERY","RAW",3,true,true,true,0,10954
"TOOL_ABL_RAW_R4_MULTIFILE_DISCOVERY_rep4","R4_MULTIFILE_DISCOVERY","RAW",4,true,true,true,0,10731
"TOOL_ABL_RAW_R4_MULTIFILE_DISCOVERY_rep5","R4_MULTIFILE_DISCOVERY","RAW",5,true,true,true,0,10818
"TOOL_ABL_RAW_R5_FAILED_FIRST_PATCH_rep1","R5_FAILED_FIRST_PATCH","RAW",1,false,false,false,7,22145
"TOOL_ABL_RAW_R5_FAILED_FIRST_PATCH_rep2","R5_FAILED_FIRST_PATCH","RAW",2,false,false,false,7,21930
"TOOL_ABL_RAW_R5_FAILED_FIRST_PATCH_rep3","R5_FAILED_FIRST_PATCH","RAW",3,false,false,false,7,22940
"TOOL_ABL_RAW_R5_FAILED_FIRST_PATCH_rep4","R5_FAILED_FIRST_PATCH","RAW",4,false,false,false,7,23050
"TOOL_ABL_RAW_R5_FAILED_FIRST_PATCH_rep5","R5_FAILED_FIRST_PATCH","RAW",5,true,true,true,3,18083
"TOOL_ABL_BOUNDED_R1_ARITHMETIC_rep1","R1_ARITHMETIC","BOUNDED",1,false,false,false,4,12062
"TOOL_ABL_BOUNDED_R1_ARITHMETIC_rep2","R1_ARITHMETIC","BOUNDED",2,false,false,false,4,12021
"TOOL_ABL_BOUNDED_R1_ARITHMETIC_rep3","R1_ARITHMETIC","BOUNDED",3,false,false,false,4,11892
"TOOL_ABL_BOUNDED_R1_ARITHMETIC_rep4","R1_ARITHMETIC","BOUNDED",4,false,false,false,4,11814
"TOOL_ABL_BOUNDED_R1_ARITHMETIC_rep5","R1_ARITHMETIC","BOUNDED",5,false,false,false,4,11890
"TOOL_ABL_BOUNDED_R2_NESTED_MODULE_rep1","R2_NESTED_MODULE","BOUNDED",1,false,false,false,4,12798
"TOOL_ABL_BOUNDED_R2_NESTED_MODULE_rep2","R2_NESTED_MODULE","BOUNDED",2,false,false,false,4,12817
"TOOL_ABL_BOUNDED_R2_NESTED_MODULE_rep3","R2_NESTED_MODULE","BOUNDED",3,false,false,false,4,12657
"TOOL_ABL_BOUNDED_R2_NESTED_MODULE_rep4","R2_NESTED_MODULE","BOUNDED",4,false,false,false,4,12659
"TOOL_ABL_BOUNDED_R2_NESTED_MODULE_rep5","R2_NESTED_MODULE","BOUNDED",5,false,false,false,4,12657
"TOOL_ABL_BOUNDED_R3_CONFIG_BUG_rep1","R3_CONFIG_BUG","BOUNDED",1,true,false,false,1,12258
"TOOL_ABL_BOUNDED_R3_CONFIG_BUG_rep2","R3_CONFIG_BUG","BOUNDED",2,true,false,false,3,18743
"TOOL_ABL_BOUNDED_R3_CONFIG_BUG_rep3","R3_CONFIG_BUG","BOUNDED",3,true,false,false,1,12188
"TOOL_ABL_BOUNDED_R3_CONFIG_BUG_rep4","R3_CONFIG_BUG","BOUNDED",4,true,false,false,2,18068
"TOOL_ABL_BOUNDED_R3_CONFIG_BUG_rep5","R3_CONFIG_BUG","BOUNDED",5,true,false,false,1,12223
"TOOL_ABL_BOUNDED_R4_MULTIFILE_DISCOVERY_rep1","R4_MULTIFILE_DISCOVERY","BOUNDED",1,true,false,false,2,16825
"TOOL_ABL_BOUNDED_R4_MULTIFILE_DISCOVERY_rep2","R4_MULTIFILE_DISCOVERY","BOUNDED",2,true,false,false,2,16364
"TOOL_ABL_BOUNDED_R4_MULTIFILE_DISCOVERY_rep3","R4_MULTIFILE_DISCOVERY","BOUNDED",3,true,false,false,1,11493
"TOOL_ABL_BOUNDED_R4_MULTIFILE_DISCOVERY_rep4","R4_MULTIFILE_DISCOVERY","BOUNDED",4,true,false,false,1,11223
"TOOL_ABL_BOUNDED_R4_MULTIFILE_DISCOVERY_rep5","R4_MULTIFILE_DISCOVERY","BOUNDED",5,true,false,false,1,11212
"TOOL_ABL_BOUNDED_R5_FAILED_FIRST_PATCH_rep1","R5_FAILED_FIRST_PATCH","BOUNDED",1,false,false,false,4,14404
"TOOL_ABL_BOUNDED_R5_FAILED_FIRST_PATCH_rep2","R5_FAILED_FIRST_PATCH","BOUNDED",2,false,false,false,4,14570
"TOOL_ABL_BOUNDED_R5_FAILED_FIRST_PATCH_rep3","R5_FAILED_FIRST_PATCH","BOUNDED",3,false,false,false,4,14263
"TOOL_ABL_BOUNDED_R5_FAILED_FIRST_PATCH_rep4","R5_FAILED_FIRST_PATCH","BOUNDED",4,false,false,false,4,14413
"TOOL_ABL_BOUNDED_R5_FAILED_FIRST_PATCH_rep5","R5_FAILED_FIRST_PATCH","BOUNDED",5,false,false,false,4,14204
"TOOL_ABL_STRUCTURED_R1_ARITHMETIC_rep1","R1_ARITHMETIC","STRUCTURED",1,false,false,false,4,12034
"TOOL_ABL_STRUCTURED_R1_ARITHMETIC_rep2","R1_ARITHMETIC","STRUCTURED",2,false,false,false,4,11302
"TOOL_ABL_STRUCTURED_R1_ARITHMETIC_rep3","R1_ARITHMETIC","STRUCTURED",3,false,false,false,4,11484
"TOOL_ABL_STRUCTURED_R1_ARITHMETIC_rep4","R1_ARITHMETIC","STRUCTURED",4,false,false,false,4,11328
