run_id,config_name,task_id,repeat,disk_write_success,test_success,clean_audit,overall_success,retries,total_latency_ms
"FULL_ABL_CONFIG_A_BASELINE_M1_EXACT_FILE_rep1","CONFIG_A_BASELINE","M1_EXACT_FILE",1,true,true,true,true,0,11065
"FULL_ABL_CONFIG_A_BASELINE_M1_EXACT_FILE_rep2","CONFIG_A_BASELINE","M1_EXACT_FILE",2,true,true,true,true,0,11189
"FULL_ABL_CONFIG_A_BASELINE_M1_EXACT_FILE_rep3","CONFIG_A_BASELINE","M1_EXACT_FILE",3,true,true,true,true,0,10817
"FULL_ABL_CONFIG_A_BASELINE_M1_EXACT_FILE_rep4","CONFIG_A_BASELINE","M1_EXACT_FILE",4,true,true,true,true,0,10887
"FULL_ABL_CONFIG_A_BASELINE_M1_EXACT_FILE_rep5","CONFIG_A_BASELINE","M1_EXACT_FILE",5,true,true,true,true,0,10834
"FULL_ABL_CONFIG_A_BASELINE_M2_DISCOVER_FILE_rep1","CONFIG_A_BASELINE","M2_DISCOVER_FILE",1,true,false,false,false,2,25047
"FULL_ABL_CONFIG_A_BASELINE_M2_DISCOVER_FILE_rep2","CONFIG_A_BASELINE","M2_DISCOVER_FILE",2,true,false,false,false,2,24570
"FULL_ABL_CONFIG_A_BASELINE_M2_DISCOVER_FILE_rep3","CONFIG_A_BASELINE","M2_DISCOVER_FILE",3,true,false,false,false,2,25857
"FULL_ABL_CONFIG_A_BASELINE_M2_DISCOVER_FILE_rep4","CONFIG_A_BASELINE","M2_DISCOVER_FILE",4,false,false,true,false,0,6244
"FULL_ABL_CONFIG_A_BASELINE_M2_DISCOVER_FILE_rep5","CONFIG_A_BASELINE","M2_DISCOVER_FILE",5,false,false,false,false,2,21035
"FULL_ABL_CONFIG_A_BASELINE_M3_NESTED_FILE_rep1","CONFIG_A_BASELINE","M3_NESTED_FILE",1,true,true,true,true,0,12140
"FULL_ABL_CONFIG_A_BASELINE_M3_NESTED_FILE_rep2","CONFIG_A_BASELINE","M3_NESTED_FILE",2,true,true,true,true,0,10847
