run_id,candidate,task_id,repeat,disk_write_success,test_success,clean_audit,unexpected_mutations,stale_write_blocked,overall_success,latency_ms
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep1","A_BASELINE","M1_EXACT_FILE",1,false,false,true,0,false,false,45764
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep2","A_BASELINE","M1_EXACT_FILE",2,false,false,true,0,false,false,44012
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep3","A_BASELINE","M1_EXACT_FILE",3,false,false,true,0,false,false,37202
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep4","A_BASELINE","M1_EXACT_FILE",4,false,false,true,0,false,false,43892
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep5","A_BASELINE","M1_EXACT_FILE",5,false,false,true,0,false,false,37897
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep6","A_BASELINE","M1_EXACT_FILE",6,false,false,true,0,false,false,41032
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep7","A_BASELINE","M1_EXACT_FILE",7,false,false,true,0,false,false,45132
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep8","A_BASELINE","M1_EXACT_FILE",8,false,false,true,0,false,false,44204
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep9","A_BASELINE","M1_EXACT_FILE",9,false,false,true,0,false,false,39140
"EDIT_V2_A_BASELINE_M1_EXACT_FILE_rep10","A_BASELINE","M1_EXACT_FILE",10,false,false,true,0,false,false,44381
"EDIT_V2_A_BASELINE_M2_DISCOVER_FILE_rep1","A_BASELINE","M2_DISCOVER_FILE",1,false,false,true,0,false,false,17362
"EDIT_V2_A_BASELINE_M2_DISCOVER_FILE_rep2","A_BASELINE","M2_DISCOVER_FILE",2,false,false,true,0,false,false,20653
"EDIT_V2_A_BASELINE_M2_DISCOVER_FILE_rep3","A_BASELINE","M2_DISCOVER_FILE",3,true,false,false,1,false,false,74370
"EDIT_V2_A_BASELINE_M2_DISCOVER_FILE_rep4","A_BASELINE","M2_DISCOVER_FILE",4,false,false,false,2,false,false,49621
