run_id,task_id,file_selection_success,disk_write_success,test_success,constraint_compliance,retry_success,overall_success,total_latency_ms
"20260827T023500Z_M1_EXACT_FILE_seed01","M1_EXACT_FILE",false,false,false,true,null,false,19881
"20260827T023500Z_M2_DISCOVER_FILE_seed01","M2_DISCOVER_FILE",true,true,false,true,false,false,14316
"20260827T023500Z_M3_NESTED_FILE_seed01","M3_NESTED_FILE",false,false,false,true,null,false,3060
"20260827T023500Z_M4_OVERWRITE_PROOF_seed01","M4_OVERWRITE_PROOF",false,false,null,true,null,false,2558
"20260827T023500Z_M5_SMALL_PATCH_seed01","M5_SMALL_PATCH",false,false,null,true,null,false,10732
"20260827T023500Z_M6_PRESERVE_SENTINELS_seed01","M6_PRESERVE_SENTINELS",true,true,null,true,false,true,13059
"20260827T023500Z_M7_LINE_ENDINGS_seed01","M7_LINE_ENDINGS",false,false,null,true,null,false,10819
"20260827T023500Z_M8_DISTRACTOR_FILES_seed01","M8_DISTRACTOR_FILES",false,false,false,true,null,false,11202
"20260827T023500Z_M9_DISAMBIGUATION_seed01","M9_DISAMBIGUATION",false,false,false,true,null,false,4305
"20260827T023500Z_M10_RETRY_RECOVERY_seed01","M10_RETRY_RECOVERY",true,true,false,true,false,false,33026
"20260827T023500Z_M11_CONSTRAINT_RETENTION_seed01","M11_CONSTRAINT_RETENTION",false,false,false,true,null,false,11330
"20260827T023500Z_M12_FOCUSED_FILE_seed01","M12_FOCUSED_FILE",false,false,false,true,false,false,12429
"20260827T023500Z_M13_EXPLICIT_OVERRIDES_FOCUS_seed01","M13_EXPLICIT_OVERRIDES_FOCUS",true,true,null,true,false,true,15753
"20260827T023500Z_M14_STALE_CONTENT_SAFETY_seed01","M14_STALE_CONTENT_SAFETY",false,false,null,true,null,false,3315
"20260827T023500Z_M15_SECURITY_SANDBOX_seed01","M15_SECURITY_SANDBOX",null,null,null,true,null,true,8950
