run_id,task_id,num_ctx,repeat,overall_success,total_latency_ms
"20260827T023500Z_CTX_4096_M2_DISCOVER_FILE_rep1","M2_DISCOVER_FILE",4096,1,false,15146
"20260827T023500Z_CTX_4096_M2_DISCOVER_FILE_rep2","M2_DISCOVER_FILE",4096,2,false,14623
"20260827T023500Z_CTX_4096_M2_DISCOVER_FILE_rep3","M2_DISCOVER_FILE",4096,3,false,15289
"20260827T023500Z_CTX_4096_M2_DISCOVER_FILE_rep4","M2_DISCOVER_FILE",4096,4,false,16311
"20260827T023500Z_CTX_4096_M2_DISCOVER_FILE_rep5","M2_DISCOVER_FILE",4096,5,false,27285
"20260827T023500Z_CTX_4096_M8_DISTRACTOR_FILES_rep1","M8_DISTRACTOR_FILES",4096,1,false,10941
"20260827T023500Z_CTX_4096_M8_DISTRACTOR_FILES_rep2","M8_DISTRACTOR_FILES",4096,2,false,11312
"20260827T023500Z_CTX_4096_M8_DISTRACTOR_FILES_rep3","M8_DISTRACTOR_FILES",4096,3,false,10839
"20260827T023500Z_CTX_4096_M8_DISTRACTOR_FILES_rep4","M8_DISTRACTOR_FILES",4096,4,false,10803
"20260827T023500Z_CTX_4096_M8_DISTRACTOR_FILES_rep5","M8_DISTRACTOR_FILES",4096,5,false,11639
"20260827T023500Z_CTX_4096_M10_RETRY_RECOVERY_rep1","M10_RETRY_RECOVERY",4096,1,false,90208
"20260827T023500Z_CTX_4096_M10_RETRY_RECOVERY_rep2","M10_RETRY_RECOVERY",4096,2,false,90564
"20260827T023500Z_CTX_4096_M10_RETRY_RECOVERY_rep3","M10_RETRY_RECOVERY",4096,3,false,90523
"20260827T023500Z_CTX_4096_M10_RETRY_RECOVERY_rep4","M10_RETRY_RECOVERY",4096,4,false,73894
"20260827T023500Z_CTX_4096_M10_RETRY_RECOVERY_rep5","M10_RETRY_RECOVERY",4096,5,false,90124
"20260827T023500Z_CTX_4096_M11_CONSTRAINT_RETENTION_rep1","M11_CONSTRAINT_RETENTION",4096,1,false,12438
"20260827T023500Z_CTX_4096_M11_CONSTRAINT_RETENTION_rep2","M11_CONSTRAINT_RETENTION",4096,2,false,11830
