run_id,task_id,tool_output_format,repeat,overall_success,total_latency_ms
"20260827T023500Z_TOOLFMT_raw_rep1","M10_RETRY_RECOVERY","raw",1,false,71811
"20260827T023500Z_TOOLFMT_raw_rep2","M10_RETRY_RECOVERY","raw",2,false,71834
"20260827T023500Z_TOOLFMT_raw_rep3","M10_RETRY_RECOVERY","raw",3,false,90672
"20260827T023500Z_TOOLFMT_raw_rep4","M10_RETRY_RECOVERY","raw",4,false,71980
"20260827T023500Z_TOOLFMT_raw_rep5","M10_RETRY_RECOVERY","raw",5,false,90170
"20260827T023500Z_TOOLFMT_bounded_rep1","M10_RETRY_RECOVERY","bounded",1,false,7126
"20260827T023500Z_TOOLFMT_bounded_rep2","M10_RETRY_RECOVERY","bounded",2,true,15044
"20260827T023500Z_TOOLFMT_bounded_rep3","M10_RETRY_RECOVERY","bounded",3,false,8987
"20260827T023500Z_TOOLFMT_bounded_rep4","M10_RETRY_RECOVERY","bounded",4,false,13669
"20260827T023500Z_TOOLFMT_bounded_rep5","M10_RETRY_RECOVERY","bounded",5,false,13614
"20260827T023500Z_TOOLFMT_structured_rep1","M10_RETRY_RECOVERY","structured",1,false,14046
"20260827T023500Z_TOOLFMT_structured_rep2","M10_RETRY_RECOVERY","structured",2,false,14643
"20260827T023500Z_TOOLFMT_structured_rep3","M10_RETRY_RECOVERY","structured",3,false,14395
"20260827T023500Z_TOOLFMT_structured_rep4","M10_RETRY_RECOVERY","structured",4,true,15058
"20260827T023500Z_TOOLFMT_structured_rep5","M10_RETRY_RECOVERY","structured",5,false,14296
